A	B	DA	DB	R
10	20	0	60	0
10	20	0	21	0
11	20	0	7	0
9	20	0	5	0
19	20	0	7	0
11	20	0	1	1
15	20	0	14	0
11	20	0	2	1
7	20	0	14	0
12	20	0	1	1
9	20	0	7	0
10	20	0	3	0
9	20	0	2	1
9	20	0	4	0
10	20	0	2	1
9	20	0	3	0
8	20	0	2	1
12	20	0	2	1
9	20	0	6	0
11	20	0	3	0
11	20	0	2	1
10	20	0	4	0
13	20	0	2	1
8	20	0	3	0
7	20	0	2	1
12	20	0	4	0
13	20	0	3	0
14	20	0	3	0
13	20	0	4	0
9	20	0	3	0
10	20	0	2	1
10	20	0	3	1
11	20	0	3	0
12	20	0	2	1
11	20	0	2	1
8	20	0	4	0
